merchant_website_id,merchant_id,merchant_website_url,is_default,is_active,created_by,updated_by,created_at,updated_at,sort_updated_at
01fa169f-c5f5-48e1-94ca-c74eb70d162a,9777a477-c016-42e6-ac75-3507fabd0b7d,http://recstuff.com/,true,true,,,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00
085c7c5a-4d42-45ef-b267-81eceacc6fa7,ca98fbfb-0533-4d47-8b01-b1d0e832ee02,http://www.nzshred.co.nz,false,false,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
cb62efcc-571e-42d7-b77c-f10343ab7332,2808a8a6-f8bb-4acc-8077-cbc0db22cbec,http://holdupdisplays.com,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,2019-03-26 18:51:48+00,2019-03-26 18:51:48+00,2019-03-26 18:51:48+00
54372bd4-5cec-4926-8f2e-4fa7446df641,6c721150-b9ff-4933-8a16-68d17a87880c,https://www.roadrunnersports.com,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2019-05-14 22:52:21+00,2019-05-14 22:52:21+00,2019-05-14 22:52:21+00
5725d90f-a25e-4579-a6c0-09c48f4327f3,4d32346a-5d18-4491-8287-d3a38b72abf6,https://flowfeet.com/,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,2019-07-24 20:08:52+00,2019-07-24 20:08:52+00,2019-07-24 20:08:52+00
29cc3cba-b5dc-49bf-a514-3e7b957669f5,e6b95b5c-425e-4e27-903d-2c1aebe8982b,http://www.scubapro.com/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2019-09-13 16:15:21+00,2019-09-13 16:15:21+00,2019-09-13 16:15:21+00
5126dda3-f96b-445d-8bde-bfacd0eb176f,72e0ae55-f1c5-4e1f-9b9a-b21543a16cb6,http://www.defender-usa.com,true,true,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
562a09ee-efb6-4154-9e0e-bfd18c254e5a,a58e08da-aa73-4745-a22a-d6a19ab3b036,https://plantpeople.co/shop/,false,true,271d1f6d-719c-43a0-b202-b7aeb931c8f3,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2019-11-12 17:26:08+00,2019-11-12 17:26:08+00,2019-11-12 17:26:08+00
0171161d-d936-4094-a9fd-2e2dd73211a1,f721ce25-41ea-4b04-86f6-5d57bbb4205e,http://www.skirtsports.com/,false,false,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
8f4a59ad-0267-4f98-ac5b-9fbee4d82bc2,5872b9e2-f108-4d83-be91-e39d1275c1c1,https://staging-enveb2c2020.kinsta.cloud/,false,true,c13183db-cb51-436d-b5cd-203d202c6769,c13183db-cb51-436d-b5cd-203d202c6769,2021-04-06 21:04:21+00,2021-04-06 21:04:21+00,2021-04-06 21:04:21+00
8ed0ff3d-fc35-41bb-aee0-9deb2ec15c4c,f90266a5-7b73-4488-8e70-3a7cbe41caa2,http://ammoplanet.com,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,2021-07-06 18:23:08+00,2021-09-09 14:45:56+00,2021-09-09 14:45:56+00
87c1f6af-8c43-46f0-a25f-cde1a362ca00,034aa94c-954b-4619-973b-c0dde459764c,http://thermos.com,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,f2d8afd8-7de6-4858-8b5c-db12fb02072b,2021-03-11 17:27:48+00,2021-03-11 17:27:48+00,2021-03-11 17:27:48+00
afa4d00f-e11d-4caa-b21c-273de7031eac,257977e0-0fd4-4dea-9360-59785999653e,https://www.enigmasoftware.com/products/spyhunter/,true,true,e50a6930-3275-4740-9040-f78e83bcc7c6,e50a6930-3275-4740-9040-f78e83bcc7c6,2020-06-19 16:07:39+00,2020-06-19 16:08:00+00,2020-06-19 16:08:00+00
71c8514f-f815-4edf-af6e-ce15d821c7e4,a70df0eb-d3bd-4316-8a50-943a8d25c34b,https://goodto-go.com/,true,true,,c6c782bc-08fb-455e-bb38-aafc3dbdbc0c,2018-04-25 17:24:14+00,2020-08-20 12:50:40+00,2020-08-20 12:50:40+00
110b502e-77fe-4455-a918-6ec4e6b699df,070846c9-e235-4e87-9981-aaa88c5380a9,https://promo.oldtimerknives.com/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-03-17 20:28:48+00,2021-03-17 20:28:48+00,2021-03-17 20:28:48+00
ffb6b511-42e3-42f4-b0e8-f2feb7039de0,abd7b484-ffdf-4369-952a-ebcfc9c08e42,https://hammockgear.com/,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,b87a085e-db6d-4710-8638-4672426c8eab,2020-01-03 00:34:54+00,2022-05-18 16:11:22+00,2022-05-18 16:11:22+00
96207a9f-0dc6-4c8c-96fd-f53eda5d820c,2955f1b4-c4ee-483f-9f9d-51acac9ded99,https://www.ledlenser.ca/,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2020-04-13 22:12:36+00,2021-03-17 22:15:15+00,2021-03-17 22:15:15+00
576e4cf8-3ce1-445c-beb4-184dc80fafb7,34b9202d-e8bf-40e2-acdc-4374738881c5,https://www.yeti.com/en_CA/,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2021-04-14 22:12:43+00,2021-04-14 22:12:43+00,2021-04-14 22:12:43+00
af2ef6ff-5e44-4a1e-b87e-7d102df12062,2a202020-368c-4b59-b261-71c3f6eb6aa9,http://www.discreteclothing.com/,false,false,,,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00,2018-04-25 17:24:14+00
34c915de-acc4-4da8-b58d-a17be21ae585,bdc08335-23cd-436b-b503-1b2f1a68776c,https://www.fifthsun.com/,true,true,,88658cc1-993d-477e-9028-062a6c3b3d9c,2018-04-25 17:24:14+00,2020-10-27 16:13:49+00,2020-10-27 16:13:49+00
